MGE	MAG	Total Signal	Signal rate	Interacting Contigs
MetaTOR_MGE_00144       	metator_00007_00000     	0.602912	100.00	9
MetaTOR_MGE_00145       	metator_00018_00003     	0.789993	97.24	60
MetaTOR_MGE_00094       	metator_00005_00001     	0.232243	32.12	81
MetaTOR_MGE_00094       	metator_00027_00004     	0.090724	12.55	11
MetaTOR_MGE_00094       	metator_00005_00003     	0.293446	40.58	40
MetaTOR_MGE_00100       	metator_00059_00000     	1.060744	99.78	123
MetaTOR_MGE_00077       	metator_00096_00000     	0.543014	96.60	33
MetaTOR_MGE_00058       	metator_00096_00000     	0.995739	97.70	35
MetaTOR_MGE_00149       	metator_00028_00002     	0.019580	85.17	5
MetaTOR_MGE_00067       	metator_00027_00001     	0.904842	86.58	42
MetaTOR_MGE_00063       	metator_00002_00004     	1.089736	32.42	84
MetaTOR_MGE_00063       	metator_00002_00003     	1.964756	58.45	133
MetaTOR_MGE_00026       	metator_00016_00000     	0.727652	99.32	33
MetaTOR_MGE_00014       	metator_00002_00003     	1.276618	77.65	118
MetaTOR_MGE_00014       	metator_00002_00004     	0.249723	15.19	69
MetaTOR_MGE_00030       	metator_00027_00003     	0.505426	63.34	33
MetaTOR_MGE_00030       	metator_00027_00001     	0.254541	31.90	35
MetaTOR_MGE_00025       	metator_00027_00006     	0.970086	91.73	55
MetaTOR_MGE_00066       	metator_00001_00000     	0.365105	98.73	133
MetaTOR_MGE_00151       	metator_00030_00000     	0.441813	94.73	75
MetaTOR_MGE_00152       	metator_00059_00000     	0.431851	98.38	100
MetaTOR_MGE_00047       	metator_00027_00003     	0.948066	63.80	37
MetaTOR_MGE_00047       	metator_00027_00004     	0.395355	26.61	11
MetaTOR_MGE_00153       	metator_00007_00000     	0.672722	100.00	13
MetaTOR_MGE_00154       	metator_00007_00000     	0.590536	100.00	8
MetaTOR_MGE_00155       	metator_00022_00000     	0.171404	100.00	20
MetaTOR_MGE_00102       	metator_00027_00005     	1.437209	96.81	105
MetaTOR_MGE_00074       	metator_00002_00003     	3.215592	75.18	136
MetaTOR_MGE_00074       	metator_00002_00004     	0.721456	16.87	76
