MGE	MAG	Total Signal	Signal rate	Interacting Contigs
MetaTOR_MGE_00411       	metator_00018_00003     	0.309636	95.86	50
MetaTOR_MGE_00412       	metator_00007_00000     	0.430555	100.00	9
MetaTOR_MGE_00413       	metator_00007_00000     	1.118786	99.65	42
MetaTOR_MGE_00414       	metator_00016_00000     	0.717776	99.95	32
MetaTOR_MGE_00417       	metator_00007_00000     	1.088162	99.65	62
MetaTOR_MGE_00418       	metator_00064_00001     	0.320809	96.47	37
MetaTOR_MGE_00420       	metator_00033_00000     	0.153904	98.77	27
MetaTOR_MGE_00422       	metator_00007_00000     	0.852608	100.00	19
MetaTOR_MGE_00423       	metator_00033_00000     	0.195551	100.00	25
MetaTOR_MGE_00424       	metator_00033_00000     	0.138740	100.00	25
MetaTOR_MGE_00425       	metator_00027_00006     	0.175106	87.24	27
MetaTOR_MGE_00425       	metator_00027_00002     	0.022408	11.16	6
MetaTOR_MGE_00427       	metator_00028_00001     	0.031977	17.77	10
MetaTOR_MGE_00427       	metator_00028_00002     	0.053933	29.97	17
MetaTOR_MGE_00427       	metator_00028_00003     	0.088652	49.27	8
MetaTOR_MGE_00428       	metator_00096_00000     	0.180233	96.12	25
MetaTOR_MGE_00430       	metator_00007_00000     	1.093158	100.00	15
MetaTOR_MGE_00431       	metator_00007_00000     	0.925782	99.88	42
MetaTOR_MGE_00432       	metator_00013_00000     	0.221703	100.00	22
MetaTOR_MGE_00433       	metator_00005_00001     	0.532802	98.66	109
MetaTOR_MGE_00065       	metator_00059_00000     	0.747676	99.30	109
MetaTOR_MGE_00434       	metator_00005_00003     	0.034156	87.37	9
MetaTOR_MGE_00435       	metator_00007_00000     	0.295657	100.00	14
MetaTOR_MGE_00436       	metator_00030_00000     	0.363344	95.21	67
MetaTOR_MGE_00437       	metator_00007_00000     	0.777978	100.00	7
MetaTOR_MGE_00440       	metator_00009_00003     	0.036349	23.74	8
MetaTOR_MGE_00440       	metator_00009_00002     	0.094333	61.60	12
MetaTOR_MGE_00092       	metator_00024_00000     	0.298127	93.22	21
MetaTOR_MGE_00441       	metator_00005_00001     	0.229516	98.25	62
MetaTOR_MGE_00442       	metator_00022_00000     	0.115909	99.67	24
MetaTOR_MGE_00443       	metator_00007_00000     	0.712414	99.93	14
MetaTOR_MGE_00444       	metator_00022_00000     	0.236466	99.96	55
MetaTOR_MGE_00445       	metator_00047_00000     	0.115164	99.61	22
MetaTOR_MGE_00446       	metator_00047_00000     	0.076657	98.67	17
MetaTOR_MGE_00447       	metator_00024_00000     	0.146310	90.22	17
MetaTOR_MGE_00448       	metator_00035_00000     	0.143898	92.66	13
MetaTOR_MGE_00450       	metator_00007_00000     	0.628071	100.00	8
MetaTOR_MGE_00451       	metator_00002_00002     	0.197108	94.32	64
MetaTOR_MGE_00452       	metator_00022_00000     	0.342363	99.82	98
MetaTOR_MGE_00453       	metator_00002_00002     	0.123901	90.14	56
MetaTOR_MGE_00454       	metator_00022_00000     	0.189098	99.47	50
MetaTOR_MGE_00455       	metator_00064_00001     	0.059354	100.00	14
MetaTOR_MGE_00456       	metator_00007_00000     	0.369471	100.00	8
MetaTOR_MGE_00457       	metator_00007_00000     	0.735121	99.57	14
MetaTOR_MGE_00458       	metator_00013_00000     	0.310346	95.78	32
MetaTOR_MGE_00459       	metator_00007_00000     	0.796819	100.00	31
MetaTOR_MGE_00460       	metator_00022_00000     	0.125643	99.40	24
MetaTOR_MGE_00461       	metator_00027_00002     	0.360630	93.35	33
MetaTOR_MGE_00462       	metator_00001_00000     	0.294024	98.69	118
MetaTOR_MGE_00463       	metator_00013_00000     	0.158757	100.00	10
MetaTOR_MGE_00464       	metator_00007_00000     	0.644749	100.00	8
MetaTOR_MGE_00465       	metator_00007_00000     	1.029747	99.77	12
MetaTOR_MGE_00466       	metator_00022_00000     	0.208123	99.87	47
MetaTOR_MGE_00467       	metator_00022_00000     	0.179595	99.91	47
MetaTOR_MGE_00468       	metator_00007_00000     	0.913267	98.99	26
MetaTOR_MGE_00469       	metator_00028_00002     	0.302931	63.79	23
MetaTOR_MGE_00469       	metator_00028_00001     	0.094538	19.91	10
MetaTOR_MGE_00469       	metator_00028_00003     	0.062144	13.09	9
MetaTOR_MGE_00470       	metator_00005_00001     	0.759421	98.51	119
MetaTOR_MGE_00471       	metator_00027_00003     	0.430066	96.67	37
MetaTOR_MGE_00472       	metator_00025_00000     	0.576917	98.50	125
MetaTOR_MGE_00473       	metator_00002_00004     	0.071547	20.66	36
MetaTOR_MGE_00473       	metator_00002_00003     	0.259554	74.96	61
MetaTOR_MGE_00476       	metator_00059_00000     	0.181030	98.91	37
MetaTOR_MGE_00477       	metator_00033_00000     	0.153627	100.00	24
MetaTOR_MGE_00479       	metator_00007_00000     	0.836479	99.75	11
MetaTOR_MGE_00481       	metator_00059_00000     	0.146371	100.00	28
MetaTOR_MGE_00482       	metator_00022_00000     	0.237803	99.83	54
MetaTOR_MGE_00484       	metator_00013_00000     	0.219634	100.00	20
MetaTOR_MGE_00485       	metator_00007_00000     	0.898391	98.08	47
MetaTOR_MGE_00048       	metator_00002_00004     	0.065221	11.09	41
MetaTOR_MGE_00048       	metator_00002_00003     	0.496677	84.48	88
MetaTOR_MGE_00486       	metator_00028_00002     	0.233588	82.41	19
MetaTOR_MGE_00487       	metator_00033_00000     	0.083904	100.00	27
MetaTOR_MGE_00488       	metator_00025_00000     	0.239851	98.33	98
MetaTOR_MGE_00489       	metator_00007_00000     	0.777659	100.00	9
MetaTOR_MGE_00101       	metator_00018_00003     	0.383702	98.36	47
MetaTOR_MGE_00492       	metator_00028_00002     	0.253102	58.65	25
MetaTOR_MGE_00492       	metator_00028_00001     	0.111998	25.95	11
MetaTOR_MGE_00492       	metator_00028_00003     	0.057701	13.37	9
MetaTOR_MGE_00495       	metator_00002_00004     	0.044073	26.24	30
MetaTOR_MGE_00495       	metator_00002_00003     	0.108673	64.71	49
MetaTOR_MGE_00497       	metator_00022_00000     	0.290105	99.63	76
MetaTOR_MGE_00498       	metator_00022_00000     	0.365541	99.93	71
MetaTOR_MGE_00499       	metator_00007_00000     	0.549390	99.89	25
MetaTOR_MGE_00040       	metator_00005_00002     	0.121246	15.85	43
MetaTOR_MGE_00040       	metator_00005_00003     	0.217190	28.39	42
MetaTOR_MGE_00040       	metator_00005_00004     	0.409350	53.52	40
MetaTOR_MGE_00500       	metator_00013_00000     	0.169317	100.00	16
MetaTOR_MGE_00501       	metator_00022_00000     	0.184861	99.66	46
MetaTOR_MGE_00503       	metator_00022_00000     	0.169148	100.00	41
MetaTOR_MGE_00507       	metator_00096_00000     	0.605884	96.04	41
MetaTOR_MGE_00508       	metator_00028_00002     	0.092443	16.69	23
MetaTOR_MGE_00508       	metator_00028_00001     	0.171262	30.92	11
MetaTOR_MGE_00508       	metator_00028_00003     	0.271684	49.05	11
MetaTOR_MGE_00509       	metator_00013_00000     	0.158945	100.00	7
MetaTOR_MGE_00510       	metator_00013_00000     	0.086659	100.00	6
MetaTOR_MGE_00511       	metator_00001_00000     	0.043878	92.17	17
MetaTOR_MGE_00512       	metator_00030_00000     	0.121501	98.62	36
MetaTOR_MGE_00514       	metator_00018_00001     	0.159027	98.45	81
MetaTOR_MGE_00515       	metator_00007_00000     	0.898590	99.92	16
MetaTOR_MGE_00516       	metator_00007_00000     	0.826874	99.87	9
MetaTOR_MGE_00518       	metator_00002_00004     	0.054315	16.21	48
MetaTOR_MGE_00518       	metator_00002_00003     	0.239815	71.58	86
MetaTOR_MGE_00520       	metator_00016_00000     	0.376826	99.15	12
MetaTOR_MGE_00522       	metator_00033_00000     	0.174772	99.55	28
MetaTOR_MGE_00523       	metator_00096_00000     	0.447166	95.59	37
MetaTOR_MGE_00526       	metator_00082_00000     	0.514204	97.11	31
MetaTOR_MGE_00527       	metator_00016_00000     	0.468859	99.69	23
MetaTOR_MGE_00528       	metator_00016_00000     	0.459527	100.00	20
MetaTOR_MGE_00529       	metator_00033_00000     	0.195907	100.00	45
MetaTOR_MGE_00530       	metator_00022_00000     	0.314524	99.98	80
MetaTOR_MGE_00532       	metator_00007_00000     	0.585294	99.78	20
MetaTOR_MGE_00533       	metator_00007_00000     	0.918637	99.91	35
MetaTOR_MGE_00534       	metator_00002_00003     	0.368010	84.35	89
MetaTOR_MGE_00535       	metator_00027_00006     	0.015781	17.41	9
MetaTOR_MGE_00535       	metator_00027_00002     	0.068819	75.90	13
MetaTOR_MGE_00536       	metator_00027_00003     	0.051204	55.46	15
MetaTOR_MGE_00536       	metator_00027_00001     	0.035497	38.45	13
MetaTOR_MGE_00537       	metator_00059_00000     	0.233750	99.46	34
MetaTOR_MGE_00538       	metator_00033_00000     	0.486794	99.66	73
MetaTOR_MGE_00539       	metator_00009_00002     	0.314886	40.54	18
MetaTOR_MGE_00539       	metator_00009_00003     	0.368420	47.43	14
MetaTOR_MGE_00540       	metator_00022_00000     	0.313835	100.00	8
MetaTOR_MGE_00541       	metator_00009_00002     	0.131633	31.78	15
MetaTOR_MGE_00541       	metator_00009_00003     	0.234020	56.51	10
MetaTOR_MGE_00542       	metator_00022_00000     	0.182945	100.00	40
MetaTOR_MGE_00543       	metator_00022_00000     	0.089704	98.63	17
MetaTOR_MGE_00544       	metator_00016_00000     	0.579305	99.97	22
MetaTOR_MGE_00545       	metator_00024_00000     	0.160465	90.62	18
MetaTOR_MGE_00546       	metator_00022_00000     	0.164321	99.89	41
MetaTOR_MGE_00549       	metator_00027_00001     	0.016818	26.07	8
MetaTOR_MGE_00549       	metator_00027_00003     	0.044788	69.42	12
MetaTOR_MGE_00550       	metator_00013_00000     	0.230442	100.00	10
MetaTOR_MGE_00553       	metator_00022_00000     	0.510400	100.00	10
MetaTOR_MGE_00554       	metator_00007_00000     	0.749389	99.98	35
MetaTOR_MGE_00555       	metator_00022_00000     	0.082817	100.00	17
MetaTOR_MGE_00556       	metator_00002_00002     	0.123909	93.38	55
MetaTOR_MGE_00557       	metator_00008_00000     	0.229208	100.00	36
MetaTOR_MGE_00558       	metator_00014_00000     	0.404517	100.00	15
MetaTOR_MGE_00559       	metator_00030_00000     	0.410589	97.14	58
MetaTOR_MGE_00560       	metator_00007_00000     	1.052208	99.65	27
MetaTOR_MGE_00561       	metator_00016_00000     	0.754147	99.57	52
MetaTOR_MGE_00562       	metator_00059_00000     	0.339503	90.18	160
MetaTOR_MGE_00563       	metator_00064_00001     	0.256360	99.86	33
MetaTOR_MGE_00565       	metator_00027_00002     	0.117982	41.39	33
MetaTOR_MGE_00565       	metator_00027_00006     	0.158722	55.68	42
MetaTOR_MGE_00566       	metator_00061_00000     	0.161787	95.57	51
